cdo_nm,no_cm1,Em_solar_Wm2nm1,Em_surfaceW2m2nm1
280,35714.2857142857,0.082,2.5361E-026
280.5,35650.623885918,0.099,1.0917E-024
281,35587.1886120996,0.15,6.1253E-024
281.5,35523.9786856128,0.212,2.7479E-022
282,35460.9929078014,0.267,2.8346E-021
282.5,35398.2300884956,0.303,1.3271E-020
283,35335.6890459364,0.325,6.7646E-020
283.5,35273.3686067019,0.323,1.4614E-019
284,35211.2676056338,0.299,4.9838E-018
284.5,35149.3848857645,0.25024,2.1624E-017
285,35087.7192982456,0.17589,8.9998E-017
285.5,35026.2697022767,0.155,6.4424E-016
286,34965.034965035,0.242,2.3503E-015
286.5,34904.0139616056,0.333,0.000000000000018458
287,34843.2055749129,0.362,0.000000000000072547
287.5,34782.6086956522,0.339,0.00000000000036618
288,34722.2222222222,0.311,0.0000000000028061
288.5,34662.0450606586,0.325,0.0000000000090651
289,34602.0761245675,0.392,0.000000000034978
289.5,34542.3143350605,0.479,0.00000000015368
290,34482.7586206897,0.563,0.00000000051454
290.5,34423.4079173838,0.606,0.0000000013303
291,34364.2611683849,0.618,0.0000000038965
291.5,34305.3173241852,0.598,0.000000014425
292,34246.5753424658,0.567,0.000000040789
292.5,34188.0341880342,0.529,0.000000070414
293,34129.6928327645,0.538,0.0000001576
293.5,34071.5502555366,0.549,0.00000047095
294,34013.6054421769,0.533,0.00000094558
294.5,33955.857385399,0.52,0.0000015965
295,33898.3050847458,0.527,0.0000032246
295.5,33840.9475465313,0.559,0.0000080206
296,33783.7837837838,0.573,0.000014737
296.5,33726.8128161889,0.521,0.000023312
297,33670.0336700337,0.478,0.000033187
297.5,33613.4453781513,0.529,0.000067912
298,33557.0469798658,0.528,0.00011127
298.5,33500.837520938,0.468,0.0001427
299,33444.8160535117,0.472,0.00020323
299.5,33388.9816360601,0.501,0.00037386
300,33333.3333333333,0.45794,0.00045631
300.5,33277.8702163062,0.433,0.00057207
301,33222.5913621262,0.463,0.00091926
301.5,33167.495854063,0.47756,0.0013201
302,33112.582781457,0.449,0.001457
302.5,33057.8512396694,0.508,0.002191
303,33003.300330033,0.612,0.0037332
303.5,32948.9291598023,0.646,0.0048044
304,32894.7368421053,0.621,0.0050973
304.5,32840.7224958949,0.626,0.0064675
305,32786.8852459016,0.642,0.0089336
305.5,32733.2242225859,0.611,0.010186
306,32679.7385620915,0.565,0.01015
306.5,32626.427406199,0.575,0.011568
